État;Année;Comparaison;Indicateur;Valeur;mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2012;Série chronologique;Taux de pression fiscale;0.373;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2013;Série chronologique;Taux de pression fiscale;0.372;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2014;Série chronologique;Taux de pression fiscale;0.375;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2015;Série chronologique;Taux de pression fiscale;0.379;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2016;Série chronologique;Taux de pression fiscale;0.383;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2017;Série chronologique;Taux de pression fiscale;0.382;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2018;Série chronologique;Taux de pression fiscale;0.387;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2019;Série chronologique;Taux de pression fiscale;0.381;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2020;Série chronologique;Taux de pression fiscale;0.388;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1981;Série chronologique;Taux de pression fiscale;0.307;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1982;Série chronologique;Taux de pression fiscale;0.31;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1983;Série chronologique;Taux de pression fiscale;0.312;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1984;Série chronologique;Taux de pression fiscale;0.313;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1985;Série chronologique;Taux de pression fiscale;0.315;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1986;Série chronologique;Taux de pression fiscale;0.321;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1987;Série chronologique;Taux de pression fiscale;0.326;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1988;Série chronologique;Taux de pression fiscale;0.325;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1989;Série chronologique;Taux de pression fiscale;0.323;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1990;Série chronologique;Taux de pression fiscale;0.308;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1991;Série chronologique;Taux de pression fiscale;0.313;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1992;Série chronologique;Taux de pression fiscale;0.316;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1993;Série chronologique;Taux de pression fiscale;0.319;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1994;Série chronologique;Taux de pression fiscale;0.32;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1995;Série chronologique;Taux de pression fiscale;0.321;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1996;Série chronologique;Taux de pression fiscale;0.323;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1997;Série chronologique;Taux de pression fiscale;0.326;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1998;Série chronologique;Taux de pression fiscale;0.327;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1999;Série chronologique;Taux de pression fiscale;0.33;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2000;Série chronologique;Taux de pression fiscale;0.329;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2001;Série chronologique;Taux de pression fiscale;0.325;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2002;Série chronologique;Taux de pression fiscale;0.323;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2003;Série chronologique;Taux de pression fiscale;0.322;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2004;Série chronologique;Taux de pression fiscale;0.322;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2005;Série chronologique;Taux de pression fiscale;0.327;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2006;Série chronologique;Taux de pression fiscale;0.328;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2007;Série chronologique;Taux de pression fiscale;0.329;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2008;Série chronologique;Taux de pression fiscale;0.323;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2009;Série chronologique;Taux de pression fiscale;0.316;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2010;Série chronologique;Taux de pression fiscale;0.316;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2011;Série chronologique;Taux de pression fiscale;0.319;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2012;Série chronologique;Taux de pression fiscale;0.324;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2013;Série chronologique;Taux de pression fiscale;0.327;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2014;Série chronologique;Taux de pression fiscale;0.329;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2015;Série chronologique;Taux de pression fiscale;0.329;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2016;Série chronologique;Taux de pression fiscale;0.331;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2017;Série chronologique;Taux de pression fiscale;0.334;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2018;Série chronologique;Taux de pression fiscale;0.335;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2019;Série chronologique;Taux de pression fiscale;0.334;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2020;Série chronologique;Taux de pression fiscale;0.335;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1981;Série chronologique;Taux de pression fiscale;0.298;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1982;Série chronologique;Taux de pression fiscale;0.301;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1983;Série chronologique;Taux de pression fiscale;0.297;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1984;Série chronologique;Taux de pression fiscale;0.296;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1985;Série chronologique;Taux de pression fiscale;0.294;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1986;Série chronologique;Taux de pression fiscale;0.308;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1987;Série chronologique;Taux de pression fiscale;0.316;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1988;Série chronologique;Taux de pression fiscale;0.322;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1989;Série chronologique;Taux de pression fiscale;0.323;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1990;Série chronologique;Taux de pression fiscale;0.336;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1991;Série chronologique;Taux de pression fiscale;0.343;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1992;Série chronologique;Taux de pression fiscale;0.344;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1993;Série chronologique;Taux de pression fiscale;0.338;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1994;Série chronologique;Taux de pression fiscale;0.336;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1995;Série chronologique;Taux de pression fiscale;0.336;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1996;Série chronologique;Taux de pression fiscale;0.341;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1997;Série chronologique;Taux de pression fiscale;0.347;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1998;Série chronologique;Taux de pression fiscale;0.346;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;1999;Série chronologique;Taux de pression fiscale;0.345;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2000;Série chronologique;Taux de pression fiscale;0.336;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2001;Série chronologique;Taux de pression fiscale;0.325;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2002;Série chronologique;Taux de pression fiscale;0.316;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2003;Série chronologique;Taux de pression fiscale;0.311;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2004;Série chronologique;Taux de pression fiscale;0.311;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2005;Série chronologique;Taux de pression fiscale;0.31;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2006;Série chronologique;Taux de pression fiscale;0.312;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2007;Série chronologique;Taux de pression fiscale;0.318;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2008;Série chronologique;Taux de pression fiscale;0.303;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2009;Série chronologique;Taux de pression fiscale;0.314;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2010;Série chronologique;Taux de pression fiscale;0.298;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2011;Série chronologique;Taux de pression fiscale;0.295;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2012;Série chronologique;Taux de pression fiscale;0.299;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2013;Série chronologique;Taux de pression fiscale;0.299;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2014;Série chronologique;Taux de pression fiscale;0.3;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2015;Série chronologique;Taux de pression fiscale;0.318;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2016;Série chronologique;Taux de pression fiscale;0.322;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2017;Série chronologique;Taux de pression fiscale;0.32;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2018;Série chronologique;Taux de pression fiscale;0.324;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2019;Série chronologique;Taux de pression fiscale;0.321;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada sans Qc;2020;Série chronologique;Taux de pression fiscale;0.334;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1981;Série chronologique;Poids des impôts sur le revenu des particuliers;0.1;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1982;Série chronologique;Poids des impôts sur le revenu des particuliers;0.1;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1983;Série chronologique;Poids des impôts sur le revenu des particuliers;0.099;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1984;Série chronologique;Poids des impôts sur le revenu des particuliers;0.098;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1985;Série chronologique;Poids des impôts sur le revenu des particuliers;0.098;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1986;Série chronologique;Poids des impôts sur le revenu des particuliers;0.101;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1987;Série chronologique;Poids des impôts sur le revenu des particuliers;0.102;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1988;Série chronologique;Poids des impôts sur le revenu des particuliers;0.103;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1989;Série chronologique;Poids des impôts sur le revenu des particuliers;0.098;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1990;Série chronologique;Poids des impôts sur le revenu des particuliers;0.09;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1991;Série chronologique;Poids des impôts sur le revenu des particuliers;0.085;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1992;Série chronologique;Poids des impôts sur le revenu des particuliers;0.087;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1993;Série chronologique;Poids des impôts sur le revenu des particuliers;0.086;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1994;Série chronologique;Poids des impôts sur le revenu des particuliers;0.086;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1995;Série chronologique;Poids des impôts sur le revenu des particuliers;0.081;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1996;Série chronologique;Poids des impôts sur le revenu des particuliers;0.081;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1997;Série chronologique;Poids des impôts sur le revenu des particuliers;0.082;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1998;Série chronologique;Poids des impôts sur le revenu des particuliers;0.083;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;1999;Série chronologique;Poids des impôts sur le revenu des particuliers;0.083;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2000;Série chronologique;Poids des impôts sur le revenu des particuliers;0.083;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2001;Série chronologique;Poids des impôts sur le revenu des particuliers;0.082;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2002;Série chronologique;Poids des impôts sur le revenu des particuliers;0.078;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2003;Série chronologique;Poids des impôts sur le revenu des particuliers;0.077;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2004;Série chronologique;Poids des impôts sur le revenu des particuliers;0.076;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2005;Série chronologique;Poids des impôts sur le revenu des particuliers;0.076;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2006;Série chronologique;Poids des impôts sur le revenu des particuliers;0.077;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2007;Série chronologique;Poids des impôts sur le revenu des particuliers;0.078;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2008;Série chronologique;Poids des impôts sur le revenu des particuliers;0.077;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2009;Série chronologique;Poids des impôts sur le revenu des particuliers;0.075;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2010;Série chronologique;Poids des impôts sur le revenu des particuliers;0.072;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2011;Série chronologique;Poids des impôts sur le revenu des particuliers;0.073;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2012;Série chronologique;Poids des impôts sur le revenu des particuliers;0.075;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2013;Série chronologique;Poids des impôts sur le revenu des particuliers;0.077;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2014;Série chronologique;Poids des impôts sur le revenu des particuliers;0.078;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2015;Série chronologique;Poids des impôts sur le revenu des particuliers;0.079;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2016;Série chronologique;Poids des impôts sur le revenu des particuliers;0.078;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2017;Série chronologique;Poids des impôts sur le revenu des particuliers;0.079;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moyenne OCDE;2018;Série chronologique;Poids des impôts sur le revenu des particuliers;0.079;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
